key,summary,assignee,priority,status,last_updated,url
SERVER-101457,Prevent layers above the catalog from directly accessing the internal CollectionCatalog,Unassigned,Major - P3,Blocked,2025-09-19,https://jira.mongodb.org/browse/SERVER-101457
SERVER-101145,[NO ACTION NEEDED] Complete TODO listed in SERVER-90070,Unassigned,Major - P3,Blocked,2025-02-21,https://jira.mongodb.org/browse/SERVER-101145
SERVER-100834,Allow transactions to refresh the routing information without bubbling up a ShardCannotRefreshDueToLocksHeld error,Unassigned,Major - P3,Blocked,2025-05-23,https://jira.mongodb.org/browse/SERVER-100834
SERVER-100779,Cluster parameters for catalog cache sizing,Unassigned,Major - P3,Blocked,2025-02-28,https://jira.mongodb.org/browse/SERVER-100779
SERVER-100654,Enhancing shard-local catalog commit as a single applyOps,Unassigned,Major - P3,Blocked,2025-05-23,https://jira.mongodb.org/browse/SERVER-100654
SERVER-100390,Add dump after failing drop,Unassigned,Major - P3,Blocked,2025-09-26,https://jira.mongodb.org/browse/SERVER-100390
SERVER-100227,Convert the set_user_write_block_mode.js file into a smoke test,Unassigned,Major - P3,Blocked,2025-02-06,https://jira.mongodb.org/browse/SERVER-100227
SERVER-100226,Convert the check_metadata_consistency.js file into a smoke test,Unassigned,Major - P3,Blocked,2025-02-06,https://jira.mongodb.org/browse/SERVER-100226
SERVER-100225,Convert the default_rw_concern_commands_api.js file into a smoke test,Unassigned,Major - P3,Blocked,2025-02-06,https://jira.mongodb.org/browse/SERVER-100225
SERVER-99094,Enable complete $group pushdown for nested pipelines,Unassigned,Major - P3,Blocked,2025-01-30,https://jira.mongodb.org/browse/SERVER-99094
SERVER-98867,Re-enable config fuzzer EINTR/SIGUSR2 testing,Unassigned,Major - P3,Blocked,2025-05-15,https://jira.mongodb.org/browse/SERVER-98867
SERVER-98657,Parallelize listCollection calls under $listClusterCatalog,Unassigned,Major - P3,Blocked,2025-02-12,https://jira.mongodb.org/browse/SERVER-98657
SERVER-98299,Remove old error codes from QE jstests,Unassigned,Major - P3,Blocked,2024-12-16,https://jira.mongodb.org/browse/SERVER-98299
SERVER-98298,Remove the dependency on the transactions table from the storage engine,Unassigned,Major - P3,Blocked,2025-07-21,https://jira.mongodb.org/browse/SERVER-98298
SERVER-98286,Take CappedInsertNotifier for the oplog out of the storage engine,Unassigned,Major - P3,Blocked,2025-05-06,https://jira.mongodb.org/browse/SERVER-98286
SERVER-98004,Readjust gRPC server parameters for search based on Cloud UX desicions,Unassigned,Major - P3,Blocked,2025-02-18,https://jira.mongodb.org/browse/SERVER-98004
SERVER-97761,Unhelpful advice for index consistency errors,Unassigned,Major - P3,Blocked,2025-11-14,https://jira.mongodb.org/browse/SERVER-97761
SERVER-97624,There are tests that check server side javascript and/or map reduce with new features,Unassigned,Major - P3,Blocked,2025-08-22,https://jira.mongodb.org/browse/SERVER-97624
SERVER-97430,Add an evergreen task to ban the addition of new files within jstests/sharding,Paolo Polato,Major - P3,Blocked,2025-02-12,https://jira.mongodb.org/browse/SERVER-97430
SERVER-97259,takeGlobalLock should use the CollectionAcquisitionRequest's lock acquisition timeout,Unassigned,Major - P3,Blocked,2024-12-17,https://jira.mongodb.org/browse/SERVER-97259
SERVER-96857,Fix cycle created by //src/mongo/db:record_id_helpers.h,Unassigned,Major - P3,Blocked,2025-11-14,https://jira.mongodb.org/browse/SERVER-96857
SERVER-96802,Update server param types of IDL Enum to use new IDL syntax,Unassigned,Major - P3,Blocked,2025-07-18,https://jira.mongodb.org/browse/SERVER-96802
SERVER-96701,Create new policy around interaction between WiredTigerSessionCache and shutting down,Unassigned,Major - P3,Blocked,2025-11-24,https://jira.mongodb.org/browse/SERVER-96701
SERVER-95927,Remove the CatalogCache dedicated to config server’s background activities,Unassigned,Major - P3,Blocked,2025-05-23,https://jira.mongodb.org/browse/SERVER-95927
SERVER-95880,Add Repl T2 Metrics Doc to server repo,Unassigned,Major - P3,Blocked,2024-11-27,https://jira.mongodb.org/browse/SERVER-95880
SERVER-95852,Make sure to include explain output from meta cursor for sharded search queries,Unassigned,Major - P3,Blocked,2024-10-15,https://jira.mongodb.org/browse/SERVER-95852
SERVER-95599,Remove featureFlagConfigDebugDumpSupported after 9.0 becomes lastLTS,Unassigned,Major - P3,Blocked,2024-10-10,https://jira.mongodb.org/browse/SERVER-95599
SERVER-95581,Avoid CatalogCache lookup in setAllowMigrationsAndBumpOneChunk,Unassigned,Major - P3,Blocked,2025-05-21,https://jira.mongodb.org/browse/SERVER-95581
SERVER-95487,Collection validation does not update count/size if collection is empty,Unassigned,Major - P3,Blocked,2025-11-14,https://jira.mongodb.org/browse/SERVER-95487
SERVER-95485,sendAuthenticatedCommandToShards should be interruptible while waiting for responses,Unassigned,Major - P3,Blocked,2025-03-05,https://jira.mongodb.org/browse/SERVER-95485
SERVER-95341,Remove Feature Flag for SPM-3939,Unassigned,Major - P3,Blocked,2025-12-09,https://jira.mongodb.org/browse/SERVER-95341
SERVER-95329,Refactor serialization of $searchMeta and $internalSearchMongotRemote,Unassigned,Major - P3,Blocked,2024-10-03,https://jira.mongodb.org/browse/SERVER-95329
SERVER-95260,Investigate generational lock information,Unassigned,Major - P3,Blocked,2025-12-15,https://jira.mongodb.org/browse/SERVER-95260
SERVER-94398,Delete replica_sets_max_mirroring_large_txns_format,Unassigned,Major - P3,Blocked,2024-09-04,https://jira.mongodb.org/browse/SERVER-94398
SERVER-94389,Delete replica_sets_auth task,Unassigned,Major - P3,Blocked,2024-09-04,https://jira.mongodb.org/browse/SERVER-94389
SERVER-94227,"Stop validating pipelines if re-parsing for query stats, plus a refactor",Unassigned,Major - P3,Blocked,2025-02-28,https://jira.mongodb.org/browse/SERVER-94227
SERVER-94155,Re-enable index pruning for distinct scan,Unassigned,Major - P3,Blocked,2025-01-24,https://jira.mongodb.org/browse/SERVER-94155
SERVER-94097,"reshardCollection doesn't preserve ""allowMigrations"" field",Unassigned,Major - P3,Blocked,2025-10-10,https://jira.mongodb.org/browse/SERVER-94097
SERVER-93982,Don't block on cache eviction after allocating an oplog slot,Unassigned,Major - P3,Blocked,2025-11-24,https://jira.mongodb.org/browse/SERVER-93982
SERVER-93961,Remove ShardCannotRefreshDueToLocksHeld once shard role API is ready.,Unassigned,Major - P3,Blocked,2025-10-17,https://jira.mongodb.org/browse/SERVER-93961
SERVER-93401,Background validation sees collection documents and timeseriesBucketsMayHaveMixedSchemaData at different points in time,Unassigned,Major - P3,Blocked,2025-11-14,https://jira.mongodb.org/browse/SERVER-93401
SERVER-93315,Delete src/mongo/db/query/framework_control.cpp,Unassigned,Major - P3,Blocked,2025-02-07,https://jira.mongodb.org/browse/SERVER-93315
SERVER-93121,Remove skipClusterParameterRefresh failpoint,Unassigned,Major - P3,Blocked,2024-08-05,https://jira.mongodb.org/browse/SERVER-93121
SERVER-93002,Add op counters to track usage of server-side JS usage.,Unassigned,Major - P3,Blocked,2024-08-13,https://jira.mongodb.org/browse/SERVER-93002
SERVER-92710,Report an error if an _id index is missing at startup rather than failing to build it,Unassigned,Major - P3,Blocked,2025-03-06,https://jira.mongodb.org/browse/SERVER-92710
SERVER-92699,Implement invalidation policy based on last accessed time for LRU cache,Unassigned,Major - P3,Blocked,2025-05-06,https://jira.mongodb.org/browse/SERVER-92699
SERVER-92333,Audit use of long lived CancellationSources,Unassigned,Major - P3,Blocked,2026-01-06,https://jira.mongodb.org/browse/SERVER-92333
SERVER-92272,Don't drop the buckets collection in $out destructor only if there is a time-series collection,Unassigned,Major - P3,Blocked,2025-11-19,https://jira.mongodb.org/browse/SERVER-92272
SERVER-92215,failed to start mongod on linux ,Unassigned,Major - P3,Waiting For User Input,2025-04-23,https://jira.mongodb.org/browse/SERVER-92215
SERVER-91930,[ShardServerOpObserver] Adopt the improved repl interfaces to keep in-memory states in sync with data,Unassigned,Major - P3,Blocked,2025-03-28,https://jira.mongodb.org/browse/SERVER-91930
SERVER-91929,[ConfigServerOpObserver] Adopt the improved repl interfaces to keep in-memory states in sync with data,Unassigned,Major - P3,Blocked,2025-05-22,https://jira.mongodb.org/browse/SERVER-91929
SERVER-91928,[VectorClockMongoD] Adopt the improved repl interfaces to keep in-memory states in sync with data,Unassigned,Major - P3,Blocked,2026-01-27,https://jira.mongodb.org/browse/SERVER-91928
SERVER-91927,[UserWritesRecoverableCriticalSectionService] Adopt the improved repl interfaces to keep in-memory states in sync with data,Unassigned,Major - P3,Blocked,2025-03-28,https://jira.mongodb.org/browse/SERVER-91927
