key,summary,assignee,priority,status,last_updated,url
KAFKA-16655,deflake ZKMigrationIntegrationTest.testDualWrite,Alyssa Huang,Minor,In Progress,2024-05-03,https://issues.apache.org/jira/browse/KAFKA-16655
KAFKA-16282,Allow to get last stable offset (LSO) in kafka-get-offsets.sh,Ahmed Sobeh,Major,In Progress,2024-02-27,https://issues.apache.org/jira/browse/KAFKA-16282
KAFKA-16264,Expose `producer.id.expiration.check.interval.ms` as dynamic broker configuratio,Jorge Esteban Quilcate Otoya,Major,In Progress,2025-01-05,https://issues.apache.org/jira/browse/KAFKA-16264
KAFKA-16242,Mark flaky tests as integration tests,Greg Harris,Major,In Progress,2025-01-04,https://issues.apache.org/jira/browse/KAFKA-16242
KAFKA-16214,No user info when SASL authentication failure,Luke Chen,Major,In Progress,2025-01-04,https://issues.apache.org/jira/browse/KAFKA-16214
KAFKA-16212,Cache partitions by TopicIdPartition instead of TopicPartition,Omnia Ibrahim,Major,In Progress,2024-04-25,https://issues.apache.org/jira/browse/KAFKA-16212
KAFKA-16070,Extract the setReadOnly method into Headers,Unassigned,Major,In Progress,2024-04-03,https://issues.apache.org/jira/browse/KAFKA-16070
KAFKA-16042,Quota Metrics based on per topic-partition produce/fetch byte rate,Afshin Moazami,Minor,In Progress,2025-05-14,https://issues.apache.org/jira/browse/KAFKA-16042
KAFKA-15995,Mechanism for plugins and connectors to register metrics,Mickael Maison,Major,In Progress,2025-09-30,https://issues.apache.org/jira/browse/KAFKA-15995
KAFKA-15994,Add complex example compose file,Vedarth Sharma,Major,In Progress,2025-01-09,https://issues.apache.org/jira/browse/KAFKA-15994
KAFKA-15917,Flaky test - OffsetsApiIntegrationTest.testAlterSinkConnectorOffsetsZombieSinkTa,Chris Egerton,Major,In Progress,2024-07-03,https://issues.apache.org/jira/browse/KAFKA-15917
KAFKA-15895,Move DynamicBrokerConfig to server module,TengYao Chi,Major,In Progress,2025-02-15,https://issues.apache.org/jira/browse/KAFKA-15895
KAFKA-15891,Flaky test: testResetSinkConnectorOffsetsOverriddenConsumerGroupId – org.apache.,Unassigned,Major,In Progress,2025-05-13,https://issues.apache.org/jira/browse/KAFKA-15891
KAFKA-15845,Add Junit5 test extension which detects leaked Kafka clients and servers,Greg Harris,Major,In Progress,2025-05-25,https://issues.apache.org/jira/browse/KAFKA-15845
