key,summary,assignee,priority,status,last_updated,url
KAFKA-19717,InsertHeader drops part of the value when header value is a number,Unassigned,Major,Open,2025-09-16,https://issues.apache.org/jira/browse/KAFKA-19717
KAFKA-19706,ListOffsetsHandler should kick out the unsupported timestamp type when receiving an UnsupportedVersionException,TaiJuWu,Minor,Open,2026-02-05,https://issues.apache.org/jira/browse/KAFKA-19706
KAFKA-19704,Kafka Broker Fails to Start After Upgrade to 4.1.0 Due to Invalid segment.bytes Configuration,Unassigned,Major,Open,2025-09-17,https://issues.apache.org/jira/browse/KAFKA-19704
KAFKA-19696,Re-enable SmokeTestDriverIntegrationTest for processing threads,Unassigned,Major,Open,2025-09-16,https://issues.apache.org/jira/browse/KAFKA-19696
KAFKA-19677,Flaky Test org.apache.kafka.streams.integration.SmokeTestDriverIntegrationTest,Unassigned,Critical,Open,2025-09-05,https://issues.apache.org/jira/browse/KAFKA-19677
KAFKA-19672,Producer performance test failing in parsing aggregate statistics,Unassigned,Major,Open,2025-09-07,https://issues.apache.org/jira/browse/KAFKA-19672
KAFKA-19671,benchmark_test is throwing `NullPointerException`,Unassigned,Major,Open,2025-09-04,https://issues.apache.org/jira/browse/KAFKA-19671
KAFKA-19657,Improve RebalanceProtocolMigrationIntegrationTest,Lan Ding,Minor,Open,2026-02-07,https://issues.apache.org/jira/browse/KAFKA-19657
KAFKA-19650,Add message key to org.apache.kafka.clients.producer.RecordMetadata,Rajarshi Misra,Minor,Open,2026-02-17,https://issues.apache.org/jira/browse/KAFKA-19650
KAFKA-19643,Controller keeps switching and occasionally goes offline.,Unassigned,Major,Open,2025-08-25,https://issues.apache.org/jira/browse/KAFKA-19643
KAFKA-19640,Remove deprecate metrics in AssignmentsManager and RemoteStorageThreadPool,Ken Huang,Major,Open,2025-08-24,https://issues.apache.org/jira/browse/KAFKA-19640
KAFKA-19639,Deprecated the config log.dir,Ken Huang,Major,Open,2025-09-10,https://issues.apache.org/jira/browse/KAFKA-19639
KAFKA-19637,The assignment generated by ReassignPartitionsCommand should include directories,Bolin Lin,Major,Open,2025-08-22,https://issues.apache.org/jira/browse/KAFKA-19637
