key,summary,assignee,priority,status,last_updated,url
KAFKA-16951,TransactionManager should rediscover coordinator on disconnection,Unassigned,Major,Patch Available,2025-06-01,https://issues.apache.org/jira/browse/KAFKA-16951
KAFKA-16923,New Unit Test for stripDotPathComponents method,Unassigned,Minor,Patch Available,2024-07-15,https://issues.apache.org/jira/browse/KAFKA-16923
KAFKA-16902,Sender ignores socket connection timeout when reconnecting to transaction coordinator,Unassigned,Minor,Patch Available,2025-05-05,https://issues.apache.org/jira/browse/KAFKA-16902
KAFKA-16848,"Reverting KRaft migration for ""Migrating brokers to KRaft"" state is wrong",Edgar,Major,Patch Available,2024-09-24,https://issues.apache.org/jira/browse/KAFKA-16848
KAFKA-16710,Continuously `makeFollower` may cause the replica fetcher thread to encounter an offset mismatch exception when `processPartitionData`,hudeqi,Blocker,Patch Available,2025-08-15,https://issues.apache.org/jira/browse/KAFKA-16710
KAFKA-16699,Have Streams treat InvalidPidMappingException like a ProducerFencedException,Walker Carlson,Major,Patch Available,2024-11-20,https://issues.apache.org/jira/browse/KAFKA-16699
KAFKA-16450,Add thread-safe alternative to Exit,Greg Harris,Minor,Patch Available,2025-02-05,https://issues.apache.org/jira/browse/KAFKA-16450
KAFKA-16394,ForeignKey LEFT join propagates null value on foreignKey change,Ayoub Omari,Minor,Patch Available,2025-08-06,https://issues.apache.org/jira/browse/KAFKA-16394
KAFKA-16295,Align RocksDB and in-memory store init() sequence,Ahmed Sobeh,Minor,Patch Available,2025-01-05,https://issues.apache.org/jira/browse/KAFKA-16295
KAFKA-16225,Flaky test suite LogDirFailureTest,Omnia Ibrahim,Major,Patch Available,2024-09-09,https://issues.apache.org/jira/browse/KAFKA-16225
KAFKA-16067,Refactoring ConsumerGroupListing + add test,Cheng-Yan Wang,Trivial,Patch Available,2024-10-14,https://issues.apache.org/jira/browse/KAFKA-16067
KAFKA-15867,Should ConsumerNetworkThread wrap the exception and notify the polling thread?,Phuc Hong Tran,Minor,Patch Available,2025-04-10,https://issues.apache.org/jira/browse/KAFKA-15867
KAFKA-15781,"Change ProducerConfig(props, doLog) constructor to protected",A. Sophie Blee-Goldman,Major,Patch Available,2025-01-04,https://issues.apache.org/jira/browse/KAFKA-15781
KAFKA-15615,Improve handling of fetching during metadata updates,appchemist,Major,Patch Available,2025-07-10,https://issues.apache.org/jira/browse/KAFKA-15615
KAFKA-15556,"Remove NetworkClientDelegate methods isUnavailable, maybeThrowAuthFailure, and tryConnect",Phuc Hong Tran,Minor,Patch Available,2025-05-05,https://issues.apache.org/jira/browse/KAFKA-15556
KAFKA-15452,Custom KafkaPrincipalBuilder Cannot Access SslPrincipalMapper,Raghu Baddam,Minor,Patch Available,2025-01-03,https://issues.apache.org/jira/browse/KAFKA-15452
KAFKA-15396,Add a metric indicating the version of the current running kafka server,hudeqi,Major,Patch Available,2024-04-18,https://issues.apache.org/jira/browse/KAFKA-15396
KAFKA-15388,Handle topics that were having compaction as retention earlier are changed to delete only retention policy and onboarded to tiered storage. ,Arpit Goyal,Major,Patch Available,2025-01-09,https://issues.apache.org/jira/browse/KAFKA-15388
KAFKA-15303,Foreign key joins no longer triggered by events on the right side of the join after deployment with a new compatible Avro schema,Matthias J. Sax,Major,Patch Available,2025-03-24,https://issues.apache.org/jira/browse/KAFKA-15303
KAFKA-15161,InvalidReplicationFactorException at connect startup,Viktor Somogyi-Vass,Major,Patch Available,2025-01-27,https://issues.apache.org/jira/browse/KAFKA-15161
KAFKA-15134,Enrich the prompt reason in CommitFailedException,hudeqi,Major,Patch Available,2024-04-18,https://issues.apache.org/jira/browse/KAFKA-15134
KAFKA-15129,Clean up all metrics that were forgotten to be closed,hudeqi,Major,Patch Available,2023-11-02,https://issues.apache.org/jira/browse/KAFKA-15129
KAFKA-15119,Support incremental synchronization of topicAcl in MirrorSourceConnector,hudeqi,Major,Patch Available,2024-04-18,https://issues.apache.org/jira/browse/KAFKA-15119
KAFKA-15110,"Wrong version may be run, which will cause to fail to run when there are multiple version jars under core/build/libs",hudeqi,Major,Patch Available,2023-11-02,https://issues.apache.org/jira/browse/KAFKA-15110
KAFKA-15057,Use new interface ZstdBufferDecompressingStreamNoFinalizer from zstd-jni,Unassigned,Major,Patch Available,2025-01-07,https://issues.apache.org/jira/browse/KAFKA-15057
KAFKA-15042,Clarify documentation on Tagged fields,Adrian Preston,Major,Patch Available,2024-12-27,https://issues.apache.org/jira/browse/KAFKA-15042
KAFKA-14907,Add the traffic metric of the partition dimension in BrokerTopicStats,hudeqi,Major,Patch Available,2023-10-07,https://issues.apache.org/jira/browse/KAFKA-14907
KAFKA-14906,Extract the coordinator service log from server log,hudeqi,Major,Patch Available,2025-01-09,https://issues.apache.org/jira/browse/KAFKA-14906
KAFKA-14903,MM2 Topic And Group Listener (KIP-918),Daniel Urban,Major,Patch Available,2025-01-02,https://issues.apache.org/jira/browse/KAFKA-14903
KAFKA-14870,KerberosLogin reLogin does not persist the login CallbackHandler,Alex Popa,Critical,Patch Available,2025-01-02,https://issues.apache.org/jira/browse/KAFKA-14870
KAFKA-14858,Standalone herder does not handle exceptions thrown from connector taskConfigs method,Unassigned,Major,Patch Available,2024-06-30,https://issues.apache.org/jira/browse/KAFKA-14858
KAFKA-14824,ReplicaAlterLogDirsThread may cause serious disk growing in case of potential exception,hudeqi,Blocker,Patch Available,2024-04-18,https://issues.apache.org/jira/browse/KAFKA-14824
